x_m,y_m,throttle,heading_rad
9.059738186640499125e-01,-3.946142759312126991e+00,8.036642671413115613e-01,2.965733239057533943e+00
8.973267758472626143e-01,-3.995359358722747167e+00,7.958539949405843972e-01,2.961017232380465103e+00
8.884469925138630542e-01,-4.044541487038517680e+00,7.879663116187100025e-01,2.956235409614676790e+00
8.793337073763564105e-01,-4.093675105119755742e+00,7.799988687357823913e-01,2.951388387882881492e+00
8.699846151966359464e-01,-4.142755299888669640e+00,7.719491966523487347e-01,2.946473903384751125e+00
8.603937176052092184e-01,-4.191795988686039642e+00,7.638146955874264288e-01,2.941490956676064528e+00
8.505577736985945325e-01,-4.240795799146752643e+00,7.555926258099792125e-01,2.936439725983249538e+00
8.404759813375698441e-01,-4.289741464552347949e+00,7.472800968589525805e-01,2.931320939808158776e+00
8.301468737842936374e-01,-4.338623799018951566e+00,7.388740556716224539e-01,2.926132514296581277e+00
8.195634069758530593e-01,-4.387459607569129894e+00,7.303712734820134722e-01,2.920871661827668220e+00
8.087222369488994422e-01,-4.436247279377436570e+00,7.217683313299665393e-01,2.915527121141413325e+00
7.976229411470987518e-01,-4.484972331658706679e+00,7.130616039964223773e-01,2.910073959087627671e+00
7.862641676152201109e-01,-4.533625241134381589e+00,7.042472421508351177e-01,2.904481343041476205e+00
7.746381149846175429e-01,-4.582223678885765317e+00,6.953211524613380767e-01,2.898718744183615748e+00
7.627413320655085371e-01,-4.630765763499806731e+00,6.862789753760999423e-01,2.892754382793036427e+00
7.505744286828958112e-01,-4.679233423934839209e+00,6.771160602336765422e-01,2.886559355749982458e+00
7.381349863839168357e-01,-4.727621527411601576e+00,6.678274372990991026e-01,2.880104684784667857e+00
7.254149627760730912e-01,-4.775946168672774661e+00,6.586163456277972506e-01,2.873361788565126140e+00
7.124107956188437951e-01,-4.824205161160470823e+00,6.496436158115480586e-01,2.866298457353205542e+00
6.991250486868684222e-01,-4.872374161697209161e+00,6.408996878672216235e-01,2.858891586127908724e+00
6.855525267901931841e-01,-4.920457807610726597e+00,6.323722192169995981e-01,2.851115473527821464e+00
6.716857316034950953e-01,-4.968467785225361588e+00,6.240529745575126297e-01,2.842943944168762727e+00
6.575209628981361076e-01,-5.016401681396240875e+00,6.158872080924788772e-01,2.834347315747285823e+00
6.430639731092747668e-01,-5.064225999620693308e+00,6.078671264116084494e-01,2.825309209606377436e+00
6.283037646749256577e-01,-5.111963208288159421e+00,5.999638139321614716e-01,2.815808700236441808e+00
6.132353527241902746e-01,-5.159614819072690040e+00,5.922559963417179940e-01,2.805823726462528978e+00
5.978580399010426927e-01,-5.207169375907906961e+00,5.853997986700317790e-01,2.795330384006780911e+00
5.821740975900809856e-01,-5.254608654444123061e+00,5.801530151968017357e-01,2.784319326759393753e+00
5.661739839687929265e-01,-5.301950640482411714e+00,5.750941690205566559e-01,2.772776358292940557e+00
5.498516016606360690e-01,-5.349184882724211221e+00,5.698585164776589496e-01,2.760686227351582644e+00
5.331849362876900367e-01,-5.396294761485855851e+00,5.645366844350746538e-01,2.748031035626767871e+00
5.161215557390134157e-01,-5.443266811294608765e+00,5.591603446127888510e-01,2.734809725213016129e+00
4.986047871534640130e-01,-5.490071008461254287e+00,5.538233245173231900e-01,2.721015543627765876e+00
4.805783554356796716e-01,-5.536671779922628822e+00,5.485236566537948777e-01,2.706641021366472888e+00
4.619781128325717856e-01,-5.583056203941615614e+00,5.432868976225082580e-01,2.691674079297326383e+00
4.427493610576008765e-01,-5.629189334037460135e+00,5.381307411871617541e-01,2.676120408136125395e+00
4.228445622892671452e-01,-5.675023271936504798e+00,5.330633989316106991e-01,2.659980589165582110e+00
4.022148091900633604e-01,-5.720518375375164055e+00,5.280884063576950505e-01,2.643253577707309177e+00
3.807907483721086339e-01,-5.765681332887437449e+00,5.232044365235183347e-01,2.625933989971745319e+00
3.585435164971373379e-01,-5.810435262108794241e+00,5.184102775048441414e-01,2.608027399376154243e+00
3.354341837044402252e-01,-5.854732727691307481e+00,5.137051587278352871e-01,2.589542389150305990e+00
3.114222883340421744e-01,-5.898534763780149071e+00,5.090867432551848815e-01,2.570482722231197670e+00
2.864477509103194874e-01,-5.941839918411165655e+00,5.045521018418920312e-01,2.550854029941690637e+00
2.605060500841581694e-01,-5.984554559080471847e+00,5.000936198760089768e-01,2.530643936311696152e+00
2.335716228651880111e-01,-6.026631953462261215e+00,4.957127874475370510e-01,2.509874099579236351e+00
2.056181276420633863e-01,-6.068032741499440164e+00,4.914073378328860375e-01,2.488551483005726261e+00
1.766062724796381989e-01,-6.108740206153412622e+00,4.871751489965292503e-01,2.466685652156634045e+00
1.465523327448993718e-01,-6.148666105457957443e+00,4.830185889264637655e-01,2.444286692188220478e+00
1.154502494371486693e-01,-6.187764581978834499e+00,4.789253208721188093e-01,2.421314757088154135e+00
8.329635550664847565e-02,-6.225993933013680426e+00,4.749002101811895526e-01,2.397813532650387103e+00
5.006960411677669615e-02,-6.263337752273907100e+00,4.709444881941204919e-01,2.373800273649913528e+00
1.580883556484888666e-02,-6.299718843611375796e+00,4.670615045440522084e-01,2.349300470134330077e+00
-1.947122393139629620e-02,-6.335097577855051121e+00,4.632554893484087111e-01,2.324343696682489302e+00
-5.575049624623199668e-02,-6.369436028433010932e+00,4.595354545825804382e-01,2.298957256218577605e+00
-9.303468821106473940e-02,-6.402725162282609794e+00,4.559009064678615220e-01,2.273156850094910197e+00
-1.312711351616612787e-01,-6.434908557470425450e+00,4.523561131714999295e-01,2.246956642778567215e+00
-1.704245794391193725e-01,-6.465954012780917637e+00,4.489054041255304273e-01,2.220364931073387282e+00
-2.104584187266547446e-01,-6.495834301459557203e+00,4.455548558253440983e-01,2.193386576357239548e+00
-2.513610670199144526e-01,-6.524544318775029161e+00,4.423143420215334687e-01,2.165994399873743426e+00
-2.930936056759835262e-01,-6.552061554588908265e+00,4.391864495421476389e-01,2.138185551696312636e+00
-3.355952239025045691e-01,-6.578354339348167379e+00,4.361810654575043467e-01,2.109946582310730179e+00
-3.788201897870716039e-01,-6.603405858124517636e+00,4.333116508729864536e-01,2.081273216819508498e+00
-4.227243333987917850e-01,-6.627203250918490163e+00,4.305810458963992282e-01,2.052011033976603116e+00
-4.673482515454619457e-01,-6.649777278544324766e+00,4.280009239855588898e-01,2.022137430731646646e+00
-5.125797820304035524e-01,-6.671079378009194372e+00,4.255684476931874682e-01,1.991553814212777773e+00
-5.583717854401465397e-01,-6.691098931265323735e+00,4.232485676750086245e-01,1.960534476913461610e+00
-6.046765232224323716e-01,-6.709825975409442478e+00,4.208223339649006522e-01,1.931560369085797646e+00
-6.514498005133037006e-01,-6.727252215303428429e+00,4.180773904593038659e-01,1.907832235623548200e+00
-6.988001789091741189e-01,-6.743418589314496003e+00,4.154392457267589434e-01,1.884241054260729520e+00
-7.465642265444532022e-01,-6.758265959853326343e+00,4.130197471081483718e-01,1.859349225763365254e+00
-7.947010407375555419e-01,-6.771780636116999652e+00,4.108110246156735923e-01,1.833454468357829548e+00
-8.431722562971973867e-01,-6.783946655893076993e+00,4.087614922279076413e-01,1.806639629058658159e+00
-8.919429392992221928e-01,-6.794744751514048886e+00,4.068812250599899150e-01,1.779273854157471746e+00
-9.409823009517881420e-01,-6.804150936430693797e+00,4.051381032672852212e-01,1.751336252244534819e+00
-9.902639852893666550e-01,-6.812134615542052352e+00,4.035290767935001965e-01,1.722933673548178390e+00
-1.039765512410404158e+00,-6.818656116193645644e+00,4.020465454057520205e-01,1.694149713670675794e+00
-1.089472264631303977e+00,-6.823664074056301487e+00,4.006850022540332512e-01,1.665030713714046762e+00
-1.139342118477612242e+00,-6.827089054235957022e+00,3.994401432934830964e-01,1.635603645537242912e+00
-1.189356785211378886e+00,-6.828844559421602511e+00,3.983086450415126434e-01,1.605874012826861374e+00
-1.239443108899765944e+00,-6.828818250721196748e+00,3.972867504024032437e-01,1.575848560684667277e+00
-1.289472661899655925e+00,-6.826874097856996393e+00,3.963717586634936674e-01,1.545535641691674122e+00
-1.339204335960106906e+00,-6.822860886193228502e+00,3.955616433299125045e-01,1.514934795436371662e+00
-1.388762323040870550e+00,-6.816560504505609686e+00,3.948546365543015857e-01,1.484042952486760214e+00
-1.437853972723126761e+00,-6.807766949590665639e+00,3.942515212294750437e-01,1.452828858222655839e+00
