x_m,y_m,w_tr_right_m,w_tr_left_m
-1.499884967815779291e+00,-7.040233656238894966e+00,7.914607941503187805e-01,1.071596584061542234e+00
-1.531358505028079353e+00,-7.042545762897580275e+00,7.843250906272856149e-01,1.053697298560667628e+00
-1.562595135706240201e+00,-7.042841212484368896e+00,7.773020148980080979e-01,1.035357254288650219e+00
-1.593582373442001821e+00,-7.041084972487087867e+00,7.703925591207718693e-01,1.016786998459676461e+00
-1.624307731827105084e+00,-7.037242010393567782e+00,7.635962750587692582e-01,9.981972231961524500e-01
-1.654758724453291308e+00,-7.031277293691637453e+00,7.569137770036280521e-01,9.798056805796339086e-01
-1.684922864912300700e+00,-7.023155789869127474e+00,7.503499670704123492e-01,9.618437762986798978e-01
-1.714787618162273208e+00,-7.012843686241596153e+00,7.439152270512123799e-01,9.445587032565441188e-01
-1.744339023482021300e+00,-7.000342929007196346e+00,7.376272368073961694e-01,9.282124780222533733e-01
-1.773561499581080003e+00,-6.985696111475287573e+00,7.315099924419632416e-01,9.130708348108088623e-01
-1.802439377356692907e+00,-6.968948029462817217e+00,7.255916792336457588e-01,8.993884245083765272e-01
-1.830956987706102934e+00,-6.950143478786729112e+00,7.199020689017585628e-01,8.873879651256788570e-01
-1.859098661526554119e+00,-6.929327255263969754e+00,7.144673366262753733e-01,8.772384539953449467e-01
-1.886848729715287387e+00,-6.906544154711480310e+00,7.093058365456623715e-01,8.690352864850050540e-01
-1.914191523169546771e+00,-6.881838972946205502e+00,7.044247305754434141e-01,8.627840081681752427e-01
-1.941111372786574973e+00,-6.855256505785090049e+00,6.998173214006224718e-01,8.583932623599408451e-01
-1.967592609463614917e+00,-6.826841549045076007e+00,6.954633945785455573e-01,8.556742409454015652e-01
-1.993619564097909302e+00,-6.796638898543109875e+00,6.913305589707712251e-01,8.543482861544049456e-01
-2.019176567586700610e+00,-6.764693350096131930e+00,6.873795362653604135e-01,8.540659352682078431e-01
-2.044247950827231985e+00,-6.731049699521089558e+00,6.835684775967086901e-01,8.544277728242232195e-01
-2.068818044716747906e+00,-6.695752742634927479e+00,6.798590777148630915e-01,8.550136466792721546e-01
-2.092871180152489075e+00,-6.658847275254585085e+00,6.762197491509470693e-01,8.554087653339588204e-01
-2.116391688031699747e+00,-6.620378093197011538e+00,6.726277241124312134e-01,8.552321147022501346e-01
-2.139363899251621515e+00,-6.580389992279148004e+00,6.690677459926572812e-01,8.541567674559603640e-01
-2.161772144709498189e+00,-6.538927768317936540e+00,6.655270448336901845e-01,8.519268443230281207e-01
-2.183600755302572693e+00,-6.496036217130325419e+00,6.619907120754523477e-01,8.483697150956234223e-01
-2.204834061928087507e+00,-6.451760134533259361e+00,6.584354070404558890e-01,8.433993197759719340e-01
-2.225456395483285554e+00,-6.406144316343676870e+00,6.548276032563296045e-01,8.370181635225003580e-01
-2.245452086865410646e+00,-6.359233558378525331e+00,6.511240086216691925e-01,8.293106137050297866e-01
-2.264805466971704373e+00,-6.311072656454747687e+00,6.472787105231476712e-01,8.204411435475038594e-01
-2.283500866699410103e+00,-6.261706406389286883e+00,6.432527165573193040e-01,8.106424017236606439e-01
-2.301522616945771205e+00,-6.211179603999092080e+00,6.390278735129292231e-01,8.002076143038674427e-01
-2.318855048608030600e+00,-6.159537045101100894e+00,6.346187598793622264e-01,7.894737699654592600e-01
-2.335482492583429881e+00,-6.106823525512261597e+00,6.300831310818001407e-01,7.788075595525053574e-01
-2.351389279769213303e+00,-6.053083841049516245e+00,6.255251763243099283e-01,7.685852341286379952e-01
-2.366559741062622901e+00,-5.998362787529806894e+00,6.210918804630021217e-01,7.591731803112995447e-01
-2.380978207360902488e+00,-5.942705160770082706e+00,6.169624706324121632e-01,7.509087427210985322e-01
-2.394629009561293653e+00,-5.886155756587283072e+00,6.133307356091804996e-01,7.440807119383384682e-01
-2.407496478561040654e+00,-5.828759370798356265e+00,6.103837456407785744e-01,7.389128921123735427e-01
-2.419564945257384636e+00,-5.770560799220240789e+00,6.082798103894460073e-01,7.355488485798183929e-01
-2.430818740547570300e+00,-5.711604837669884027e+00,6.071282691028988543e-01,7.340406748095869016e-01
-2.441242195328839681e+00,-5.651936281964228925e+00,6.069742806154028170e-01,7.343409231757870304e-01
-2.450819640498435703e+00,-5.591599927920221980e+00,6.077917660327800675e-01,7.363006932472899724e-01
-2.459535406953602177e+00,-5.530640571354804358e+00,6.094836929733469244e-01,7.396776768259047952e-01
-2.467373825591580250e+00,-5.469103008084919892e+00,6.118922037152383364e-01,7.441523446583080403e-01
-2.474319227309614622e+00,-5.407032033927515968e+00,6.148162454995732551e-01,7.493572126222660668e-01
-2.480355943004946884e+00,-5.344472444699532865e+00,6.180357131640079604e-01,7.549139798955634140e-01
-2.485468303574819515e+00,-5.281469036217914415e+00,6.213375814557399179e-01,7.604747244293115216e-01
-2.489640639916476772e+00,-5.218066604299606226e+00,6.245430111279179908e-01,7.657608969472007310e-01
-2.492857282927161133e+00,-5.154309944761554796e+00,6.275281187133164851e-01,7.705892627588608601e-01
-2.495102563504114634e+00,-5.090243853420698628e+00,6.302382965508135371e-01,7.748853841233039885e-01
-2.496360812544581975e+00,-5.025913126093985106e+00,6.326928964547067213e-01,7.786761092300588105e-01
-2.496616360945804303e+00,-4.961362558598358063e+00,6.349804846541937664e-01,7.820681852152360225e-01
-2.495853539605025428e+00,-4.896636946750761332e+00,6.372457929705621638e-01,7.852156908084559905e-01
-2.494056679419487388e+00,-4.831781086368137856e+00,6.396705396509116959e-01,7.882847593057393798e-01
-2.491210111286433992e+00,-4.766839773267432356e+00,6.424514803301545340e-01,7.914234292652632119e-01
-2.487298166103108166e+00,-4.701857803265589553e+00,6.457781336019537965e-01,7.947398059750749866e-01
-2.482305174766752387e+00,-4.636879972179553278e+00,6.498134969024029761e-01,7.982945219319106389e-01
-2.476215468174608691e+00,-4.571951075826265587e+00,6.546789305934049841e-01,8.021023840481538159e-01
-2.469013377223921335e+00,-4.507115910022672978e+00,6.604441656976705044e-01,8.061424934922294394e-01
-2.460683232811932797e+00,-4.442419270585716617e+00,6.671202271159363262e-01,8.103714975271019139e-01
-2.451209365835885556e+00,-4.377905953332342115e+00,6.746588315345972697e-01,8.147372649309326809e-01
-2.440576107193022981e+00,-4.313620754079494191e+00,6.829509634694740372e-01,8.191881834524203931e-01
-2.428767787780588439e+00,-4.249608468644116677e+00,6.918300370199781391e-01,8.236791084765953119e-01
-2.415768738495823076e+00,-4.185913892843151629e+00,7.010750598032821079e-01,8.281720597121737804e-01
