x_m,y_m,throttle,heading_rad
-2.491821529050845641e+00,4.109648030358970416e+00,4.489223182924266253e-01,2.804029688417929655e+00
-2.506015718035233597e+00,4.061777541478375220e+00,4.515514019205060237e-01,2.824628820783972039e+00
-2.519238231573468489e+00,4.013646624848814959e+00,4.542654048190154503e-01,2.844808773017781789e+00
-2.531516279535033664e+00,3.965283139913022392e+00,4.570589610655867996e-01,2.864607428097089237e+00
-2.542887158401547776e+00,3.916674987755159876e+00,4.598920910808165785e-01,2.884044838791917975e+00
-2.553379569000851390e+00,3.867842913728338328e+00,4.627774156945394513e-01,2.903137544043530305e+00
-2.563014986970697517e+00,3.818850272623927289e+00,4.656531555565136538e-01,2.921895397158351670e+00
-2.571825799171243876e+00,3.769716884336413276e+00,4.684554049707884693e-01,2.940331430731464302e+00
-2.579845258603395752e+00,3.720458557451515880e+00,4.725185883648252427e-01,2.958479886329892672e+00
-2.587106473428149034e+00,3.671087540244721836e+00,4.769678652795877327e-01,2.976357711752755542e+00
-2.593645160589740151e+00,3.621592860048242102e+00,4.811074016028134004e-01,2.993979739201967583e+00
-2.599493560526006775e+00,3.572015871031132050e+00,4.851557539793320828e-01,3.011353807320060749e+00
-2.604686103250147600e+00,3.522387798870678211e+00,4.891986042884141628e-01,3.028513874246485216e+00
-2.609237930687443807e+00,3.472691216894125521e+00,4.932991444618320398e-01,3.045476674070393130e+00
