x_m,y_m,throttle,heading_rad
9.006025514299025314e-01,-2.920276137713082587e+00,8.770826929588219079e-01,-9.259977747579917207e-02
9.046054334269361119e-01,-2.870514150170079493e+00,8.841689903536005257e-01,-8.795055628099901490e-02
9.084151473633864660e-01,-2.820738905683105369e+00,8.911989434003564359e-01,-8.344315613589126102e-02
9.120394157446443106e-01,-2.770951044905883620e+00,8.981738751115609931e-01,-7.907310165782521771e-02
9.154832782173015771e-01,-2.721143661443752748e+00,9.050950575204375070e-01,-7.483566533294316869e-02
9.187494385070220648e-01,-2.671326336918411037e+00,9.119637143894104847e-01,-7.072640512533845403e-02
9.218410378606209932e-01,-2.621499565060958492e+00,9.187810237363071009e-01,-6.674144002133552966e-02
9.247611853474824173e-01,-2.571663805963131377e+00,9.255481201930793045e-01,-6.287644240982759314e-02
9.275129729528319711e-01,-2.521819220525601146e+00,9.322660972104203081e-01,-5.912712215015281103e-02
9.300997111466903222e-01,-2.471960907658836692e+00,9.389360091204059788e-01,-5.548891420512935824e-02
9.325240461266417480e-01,-2.422095966922439114e+00,9.455588730681772081e-01,-5.195782948800964363e-02
9.347889778459488319e-01,-2.372224734987707695e+00,9.521356708226866861e-01,-4.852985025994827062e-02
9.368974779346337378e-01,-2.322347519869238930e+00,9.586673504756348940e-01,-4.520081047674362473e-02
9.388524906963978678e-01,-2.272464597469245007e+00,9.651548280369217636e-01,-4.196657363746991720e-02
9.406570544886352359e-01,-2.222572730676831476e+00,9.715989889342135921e-01,-3.882276926731376143e-02
9.423138817286954572e-01,-2.172676805031453995e+00,9.780006894235772075e-01,-3.576562665765870008e-02
9.438258491690932894e-01,-2.122777022092051435e+00,9.843607579175424060e-01,-3.279110640959159717e-02
9.451958091688882346e-01,-2.072873559163504797e+00,9.906799962364258860e-01,-2.989516801857994288e-02
9.464265905341601171e-01,-2.022966570247949125e+00,9.969591807882662859e-01,-2.707379276763788312e-02
9.475210219423649827e-01,-1.973055085411631104e+00,1.000000000000000000e+00,-2.432279655229674376e-02
9.484818401326881032e-01,-1.923141349516896303e+00,1.000000000000000000e+00,-2.163848783173438761e-02
9.493118143680524534e-01,-1.873225564747976080e+00,1.000000000000000000e+00,-1.901686628658993961e-02
9.500136962112131211e-01,-1.823307795555172861e+00,1.000000000000000000e+00,-1.645428280113825359e-02
9.505902176488945088e-01,-1.773388086644755557e+00,1.000000000000000000e+00,-1.394811519662630950e-02
9.510440844120847670e-01,-1.723467412872858207e+00,1.000000000000000000e+00,-1.149728154001050662e-02
9.513779968340234650e-01,-1.673546049579091255e+00,1.000000000000000000e+00,-9.101519966312920928e-03
9.515946415226037569e-01,-1.623623901522962543e+00,1.000000000000000000e+00,-6.760454489149303470e-03
9.516966878107544492e-01,-1.573700935212118734e+00,1.000000000000000000e+00,-4.473780980787323003e-03
9.516867894171904263e-01,-1.523777100379597016e+00,1.000000000000000000e+00,-2.241205234810195179e-03
9.515675943790519176e-01,-1.473854963019939790e+00,1.000000000000000000e+00,-6.250639179228301145e-05
9.513417392228359359e-01,-1.423933557816679851e+00,1.000000000000000000e+00,2.062530614657998029e-03
9.510118412087172901e-01,-1.374012156039110755e+00,1.000000000000000000e+00,4.134187483121332107e-03
9.505805058691985110e-01,-1.324090638760983429e+00,1.000000000000000000e+00,6.152689336766270500e-03
9.500503270246067888e-01,-1.274168872760581328e+00,1.000000000000000000e+00,8.118245448557770416e-03
9.494239426105449686e-01,-1.224250787851919986e+00,1.000000000000000000e+00,1.003090717994425951e-02
9.487039240833213816e-01,-1.174334665208144779e+00,1.000000000000000000e+00,1.189095715763910377e-02
9.478928236618077152e-01,-1.124418916381198397e+00,1.000000000000000000e+00,1.369856743134256760e-02
9.469932011673014571e-01,-1.074503347614759186e+00,1.000000000000000000e+00,1.545388820743931468e-02
9.460076085124636824e-01,-1.024587752937265561e+00,1.000000000000000000e+00,1.715701034455019425e-02
9.449387137242115653e-01,-9.746774568328177013e-01,1.000000000000000000e+00,1.880794587414658103e-02
9.437890278927245635e-01,-9.247699696744500208e-01,1.000000000000000000e+00,2.040693561283157820e-02
9.425610427315059825e-01,-8.748628591049023573e-01,1.000000000000000000e+00,2.195407119153425235e-02
9.412572898981157454e-01,-8.249558656832635117e-01,1.000000000000000000e+00,2.344943225653151053e-02
9.398802968042045958e-01,-7.750487195146484876e-01,1.000000000000000000e+00,2.489298031347431106e-02
9.384328072570023993e-01,-7.251485440382602343e-01,1.000000000000000000e+00,2.628476152020331469e-02
