x_m,y_m,w_tr_right_m,w_tr_left_m
9.539323669989769883e-01,-9.660756205504755778e-01,5.647592492031532352e-01,6.986887840825527496e-01
9.550306542928491682e-01,-9.036469671820492877e-01,5.621777759282040599e-01,6.965379229466073241e-01
9.559165787697794237e-01,-8.411610037001742146e-01,5.596271345568391009e-01,6.949593653758678879e-01
9.565924975399326957e-01,-7.786163695703425258e-01,5.571084804711017302e-01,6.940137200582234822e-01
9.570607677134727043e-01,-7.160117042580453894e-01,5.546187082725121398e-01,6.937236324843311097e-01
9.573237464005646125e-01,-6.533456472287744177e-01,5.521515686905723586e-01,6.940751825618864945e-01
9.573837907113720291e-01,-5.906168379480205566e-01,5.496991664725878746e-01,6.950239758115940303e-01
9.572432577560603395e-01,-5.278239158812767506e-01,5.472535220554246571e-01,6.965033974166290331e-01
9.569045046447933744e-01,-4.649655204940341680e-01,5.448077709749802322e-01,6.984339302386024517e-01
9.563698884877359641e-01,-4.020402912517835325e-01,5.423568792509249059e-01,7.007321067037028950e-01
9.556417663950528274e-01,-3.390468676200172338e-01,5.398979369880925194e-01,7.033177234152219182e-01
9.547224954769075733e-01,-2.759838890642264397e-01,5.374299971451860225e-01,7.061192446570798698e-01
9.536144328434650319e-01,-2.128499950499028737e-01,5.349535782026894060e-01,7.090765357584041251e-01
9.523199356048900333e-01,-1.496438250425383698e-01,5.324702543881983940e-01,7.121418096749511095e-01
9.508413608713467413e-01,-8.636401850762431831e-02,5.299822653517696214e-01,7.152788441822423016e-01
9.491810657529998752e-01,-2.300921491065233138e-02,5.274927163442282296e-01,7.184613760353063538e-01
9.473414073600133767e-01,4.042194628288620084e-02,5.250054011797247178e-01,7.216710849281916529e-01
9.453247428025520760e-01,1.039308256074991110e-01,5.225253880917272165e-01,7.248956808755551151e-01
9.431334291907804701e-01,1.675187835976954531e-01,5.200594585164224348e-01,7.281269564166547026e-01
9.407698236348627230e-01,2.311871807879828378e-01,5.176169839525540661e-01,7.313603230704921465e-01
9.382362832449638868e-01,2.949373777128708740e-01,5.152108302798967809e-01,7.345929946172790048e-01
9.355351651312476813e-01,3.587707349068667284e-01,5.128587351723585819e-01,7.378236795512335133e-01
9.326688264038789367e-01,4.226886129044794549e-01,5.105848095767125949e-01,7.410515703012587885e-01
9.296396241730223720e-01,4.866923722402165531e-01,5.084206774621802261e-01,7.442748811767971873e-01
9.264499155488420401e-01,5.507833734485885202e-01,5.064065410555975699e-01,7.474898710122598322e-01
9.231020576415022161e-01,6.149629770641018567e-01,5.045908317651434105e-01,7.506896021681656039e-01
9.195984075611682851e-01,6.792325436212659495e-01,5.030283084477593647e-01,7.538643265984406039e-01
9.159413224180040780e-01,7.435934336545887424e-01,5.017772561534551423e-01,7.570007987011649897e-01
9.121331593221737588e-01,8.080470076985788452e-01,5.008945957455226416e-01,7.600837875160527668e-01
9.081762753838422686e-01,8.725946262877444237e-01,5.004305388698035983e-01,7.630972263787345611e-01
9.040730277131742154e-01,9.372376499565945318e-01,5.004234618444411975e-01,7.660248669314554393e-01
8.998257734203333191e-01,1.001977439239636114e+00,5.008951008293792695e-01,7.688511432854349126e-01
8.954368696154849649e-01,1.066815354671379001e+00,5.018480450208874233e-01,7.715598337536808682e-01
8.909086734087928727e-01,1.131752756786331915e+00,5.032650543402692467e-01,7.741320045430221120e-01
8.862435419104217615e-01,1.196791006119001466e+00,5.051107207298760615e-01,7.765425331718105451e-01
8.814438322305363505e-01,1.261931463203897152e+00,5.073352602968596026e-01,7.787559873727667448e-01
8.765119014793008034e-01,1.327175488575528028e+00,5.098793755093018465e-01,7.807234191079011065e-01
8.714501067668798395e-01,1.392524442768401371e+00,5.126800083674292186e-01,7.823800953030698446e-01
8.662608052034374007e-01,1.457979686317025569e+00,5.156758960188074781e-01,7.836458582293618358e-01
8.609463538991386500e-01,1.523542579755909898e+00,5.188124017283913814e-01,7.844285103530577175e-01
8.555091099641473074e-01,1.589214483619561413e+00,5.220451879559374619e-01,7.846301909888491188e-01
8.499514305086285360e-01,1.654996758442490279e+00,5.253427613110337457e-01,7.841559265252961985e-01
8.442756726427463887e-01,1.720890764759204439e+00,5.286873181001620070e-01,7.829236269792051450e-01
8.384841934766655847e-01,1.786897863104211615e+00,5.320754019081008757e-01,7.808732644932302458e-01
8.325793501205503988e-01,1.853019414012020638e+00,5.355170414651012623e-01,7.779746534240761235e-01
8.265634996845654392e-01,1.919256778017139675e+00,5.390354411499505005e-01,7.742319578406309244e-01
8.204389992788746477e-01,1.985611315654076892e+00,5.426658049610487700e-01,7.696847632784521442e-01
8.142082060136431876e-01,2.052084387457342007e+00,5.464550472716072083e-01,7.644049967134657342e-01
8.078734769990352227e-01,2.118677353961441412e+00,5.504616743252179756e-01,7.584907069271145108e-01
